model_id,condition,n_total,n_success,parse_success_rate,mean_conf,sd_conf,skewness,pct_at_ceiling,pct_below_050,pct_below_020
M1,NUM,524,0,0.0,,,,,,
M1,CAT,524,0,0.0,,,,,,
M2,NUM,524,500,0.9542,0.9598,0.0387,-1.4602,0.872,0.0,0.0
M2,CAT,524,504,0.9618,0.7075,0.2799,-1.6936,0.002,0.1687,0.1508
M3,NUM,524,471,0.8989,0.9697,0.1054,-7.6984,0.9682,0.0106,0.0085
M3,CAT,524,161,0.3073,0.7693,0.209,-2.4463,0.0497,0.0932,0.0683
M4,NUM,524,516,0.9847,0.9801,0.1128,-7.8828,0.9651,0.0116,0.0116
M4,CAT,524,523,0.9981,0.607,0.1621,-1.1489,0.0096,0.1109,0.0402
M5,NUM,524,522,0.9962,0.9752,0.1512,-6.2317,0.9674,0.023,0.023
M5,CAT,524,503,0.9599,0.1828,0.2726,1.7825,0.008,0.839,0.7793
M6,NUM,524,517,0.9866,0.9834,0.0816,-8.7116,0.9555,0.0058,0.0039
M6,CAT,524,521,0.9943,0.4546,0.1614,-1.284,0.0,0.3512,0.094
M7,NUM,524,524,1.0,0.9574,0.0274,-2.4218,0.9637,0.0,0.0
M7,CAT,524,523,0.9981,0.7888,0.1598,-1.8956,0.1587,0.0382,0.0038
M8,NUM,524,409,0.7805,0.9125,0.105,-4.1641,0.7237,0.0098,0.0049
M8,CAT,524,71,0.1355,0.6218,0.3278,-0.9289,0.1268,0.2535,0.2113
