model_id,condition,n_success,auroc2,ci_lo,ci_hi
M1,NUM,0,,,
M1,CAT,0,,,
M2,NUM,500,0.6575,0.5966,0.7166
M2,CAT,504,0.6265,0.6069,0.6463
M3,NUM,471,0.6831,0.6209,0.7452
M3,CAT,161,0.5936,0.5145,0.6754
M4,NUM,516,0.5752,0.5366,0.6151
M4,CAT,523,0.6425,0.462,0.8012
M5,NUM,522,0.5272,0.5095,0.5464
M5,CAT,503,0.8799,0.7982,0.9407
M6,NUM,517,0.5785,0.5425,0.6154
M6,CAT,521,0.9132,0.6773,0.999
M7,NUM,524,0.5924,0.5486,0.6343
M7,CAT,523,0.5747,0.545,0.6034
M8,NUM,409,0.6689,0.6223,0.7155
M8,CAT,71,0.6048,0.4568,0.7444
