model_id,condition,parse_rate,tier,worst_case_composite
M1,NUM,0.0,Insufficient,1.0
M1,CAT,0.0,Insufficient,1.0
M2,NUM,0.9542,Insufficient,1.0
M2,CAT,0.9618,Insufficient,1.0
M3,NUM,0.8989,Insufficient,1.0
M3,CAT,0.3073,Insufficient,1.0
M4,NUM,0.9847,Insufficient,1.0
M4,CAT,0.9981,Insufficient,1.0
M5,NUM,0.9962,Insufficient,1.0
M5,CAT,0.9599,Insufficient,1.0
M6,NUM,0.9866,Insufficient,1.0
M6,CAT,0.9943,Insufficient,1.0
M7,NUM,1.0,Insufficient,1.0
M7,CAT,0.9981,Insufficient,1.0
M8,NUM,0.7805,Insufficient,1.0
M8,CAT,0.1355,Insufficient,1.0
