model_id,condition,correct,n,mean_hedge_epistemic_count,mean_hedge_self_count,mean_hedge_uncertainty_count
M2,NUM,True,388,0.018,0.0026,0.0
M2,NUM,False,112,0.0,0.0446,0.0
M2,CAT,True,10,1.0,0.0,0.0
M2,CAT,False,494,0.8057,0.0,0.0
M3,NUM,True,392,0.0204,0.0,0.0026
M3,NUM,False,79,0.0127,0.0,0.0
M3,CAT,True,105,1.3143,0.0,0.0
M3,CAT,False,56,0.8036,0.0,0.0179
M4,NUM,True,391,0.046,0.0,0.0
M4,NUM,False,125,0.088,0.008,0.0
M4,CAT,True,13,0.4615,0.0,0.0
M4,CAT,False,510,0.3569,0.0,0.0039
M5,NUM,True,308,0.0325,0.0,0.0
M5,NUM,False,214,0.1121,0.0,0.0047
M5,CAT,True,21,0.4762,0.0,0.0
M5,CAT,False,482,0.1577,0.0,0.0041
M6,NUM,True,370,0.0324,0.0,0.0
M6,NUM,False,147,0.102,0.0,0.0068
M6,CAT,True,4,0.75,0.0,0.0
M6,CAT,False,517,0.1315,0.0,0.0213
M7,NUM,True,396,0.0051,0.0,0.0
M7,NUM,False,128,0.0078,0.0,0.0
M7,CAT,True,1,1.0,0.0,0.0
M7,CAT,False,522,0.5651,0.0,0.0
M8,NUM,True,240,2.0333,3.7833,0.675
M8,NUM,False,169,3.8047,5.2189,1.645
M8,CAT,True,18,3.3889,2.5,0.8333
M8,CAT,False,53,4.5472,2.9245,1.7736
